study;version;doi;field_start;field_end;id;lastname;firstname;gender;state;party;district_name;district_number;incumbent;list_place;isListed;isDC;screen_name1;screen_name2;user_id1;user_id2;change_v2
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";18320;"Friesen";"Anton";"m";"TH";"AfD";"";;1;7;1;0;"drfriesenmdb";"";"916324637046435840";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4478;"Frieser";"Michael";"m";"BY";"CSU";"Nürnberg-Süd";245;1;13;1;1;"michaelfrieser";"";"4577700622";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3398;"Frisch";"Andreas";"m";"BW";"DIE LINKE";"Ludwigsburg";265;0;;0;1;"andi_frisch";"";"46901618";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11733;"Fritsche-Schmidt";"Nicole";"w";"NW";"DIE LINKE";"";;0;15;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4799;"Fritz";"Elena";"w";"BY";"AfD";"Landshut";228;0;26;1;1;"elena__fritz";"";"1226479367787859974";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3428;"Frohnmaier";"Markus-Cornel";"m";"BW";"AfD";"Böblingen";260;1;4;1;1;"frohnmaier_afd";"";"4130621842";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";2102;"Frölich";"Alexandra Julius";"w";"BE";"SPD";"";;0;10;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";2161;"Frömming";"Götz";"m";"BE";"AfD";"Berlin-Pankow";76;1;3;1;1;"gtzfrmming";"";"809895794";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";6934;"Frühwald";"Sophie Elise";"w";"HE";"SPD";"";;0;20;1;0;"sophiefruehwald";"";"59205045";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11423;"Fuchs";"Florian";"m";"NW";"CDU";"Essen II";119;0;56;1;1;"fuchs_cdu";"";"1371446249715597312";"";1
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";7054;"Fuchs";"Markus Erhard";"m";"HE";"AfD";"";;0;12;1;0;"civis_liber";"";"1571601991";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4479;"Füger";"Florian";"m";"BY";"CSU";"";;0;77;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";16100;"Funke";"Fabian";"m";"SN";"SPD";"Sächsische Schweiz-Osterzgebirge";158;0;7;1;1;"funke_fabian";"";"941607536968519680";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4624;"Funke genannt Kaiser";"Maximilian Ludwig";"m";"BY";"FDP";"";;0;11;1;0;"max_fksr";"";"2237664229";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";6935;"Fürpahs-Zipp";"Cornelia";"w";"HE";"SPD";"";;0;43;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11587;"Füßmann";"Klaus Wilhelm";"m";"NW";"FDP";"Herne  Bochum II";141;0;43;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";13901;"Gaarz";"Timo";"m";"SH";"CDU";"";;0;15;1;0;"timogaarz";"";"4902264802";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10261;"Gäde";"Marten";"m";"NI";"SPD";"";;0;47;1;0;"martengaede";"";"1127590225692254208";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";13905;"Gädechens";"Ingo Adolf August";"m";"SH";"CDU";"Ostholstein  Stormarn-Nord";9;1;3;1;1;"gadechens";"";"1157298670745899014";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11651;"Gajewski-Schneck";"Sascha Michael";"m";"NW";"GRÜNE";"";;0;60;1;0;"willibald71";"";"1032248179893395456";"";1
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11734;"Gallasch";"Lutz";"m";"NW";"DIE LINKE";"Mettmann I";104;0;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11652;"Gambir";"Schahina";"w";"NW";"GRÜNE";"Minden-Lübbecke I";134;0;19;1;1;"schahinag";"";"1284802020382310400";"";1
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4696;"Gangjee-Well";"Sabeeka";"w";"BY";"GRÜNE";"";;0;49;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11507;"Ganser";"Carsten";"m";"NW";"SPD";"";;0;73;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4697;"Ganserer";"Markus (Tessa)";"w";"BY";"GRÜNE";"Nürnberg-Nord";244;0;13;1;1;"gansgruen";"";"41365109";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11795;"Garbe";"Heinrich Theodor";"m";"NW";"AfD";"Dortmund I";142;0;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10257;"Gardlo";"Silke";"w";"NI";"SPD";"";;0;31;1;0;"silkegardlo";"";"793594868";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";2169;"Garnis";"Lukas";"m";"BE";"AfD";"Berlin-Spandau  Charlottenburg Nord";78;0;;0;1;"lukasgarnis";"";"787324660702666752";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3468;"Gaßner-Herz";"Martin Thomas";"m";"BW";"FDP";"Offenburg";284;0;16;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3346;"Gastel";"Matthias";"m";"BW";"GRÜNE";"Nürtingen";262;1;9;1;1;"matthiasgastel";"";"727782559";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";1074;"Gauland";"Eberhardt Alexander";"m";"BB";"AfD";"";;1;1;1;0;"";"";"";"";1
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10258;"Gava";"Manuel";"m";"NI";"SPD";"Stadt Osnabrück";39;0;21;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";6936;"Gebauer";"Patrick";"m";"HE";"SPD";"";;0;37;1;0;"patrickgebauer";"";"219008427";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";6879;"Gebhard";"Wilhelm";"m";"HE";"CDU";"Werra-Meißner  Hersfeld-Rotenburg";169;0;20;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";12785;"Gebhart";"Thomas";"m";"RP";"CDU";"Südpfalz";211;1;3;1;1;"thomasgebhart";"";"51483238";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";12826;"Geesdorf";"Kerstin";"w";"RP";"FDP";"";;0;11;1;0;"kerstingeesdorf";"";"988141716636094466";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11653;"Gehring";"Kai";"m";"NW";"GRÜNE";"Essen III";120;1;16;1;1;"kaigehring";"";"110368456";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3301;"Gehrke";"Sven Gustav";"m";"BW";"FDP";"Rastatt";273;0;28;1;1;"svengehrke";"";"491342008";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";6880;"Gehrmann";"Katja Astrid Alexandra Maria";"w";"HE";"CDU";"";;0;53;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";12800;"Geilenkirchen";"Jochen";"m";"RP";"SPD";"";;0;24;1;0;"jogeilenkirchen";"";"56811207";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4480;"Geissler";"Jonas Alexander Tecumseh";"m";"BY";"CSU";"Coburg";238;0;;0;1;"geisslerjonas";"";"3375074608";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";16101;"Geißler";"Alexander";"m";"SN";"SPD";"Mittelsachsen";161;0;9;1;1;"a_geiszler";"";"1134864989779562496";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11796;"Geitz";"Andreas";"m";"NW";"AfD";"Hagen  Ennepe-Ruhr-Kreis I";138;0;;0;1;"andreasgeitz";"";"2288663038";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";2129;"Gelbhaar";"Stefan";"m";"BE";"GRÜNE";"Berlin-Pankow";76;1;2;1;1;"stefangelbhaar";"";"426582569";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";15039;"Gelzleichter";"Anja";"w";"SL";"SPD";"";;0;12;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";9141;"Gerber";"Lena Frederike";"w";"MV";"SPD";"";;0;8;1;0;"rike85";"";"43322694";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11508;"Gerdes";"Michael";"m";"NW";"SPD";"Bottrop  Recklinghausen III";125;1;41;1;1;"gerdesmdb";"";"2468956470";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3347;"Gerhard-Hentschel";"Birgit";"w";"BW";"GRÜNE";"";;0;58;1;0;"hard_hentschel";"";"836452023843315713";"";1
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4481;"Gerl";"Barbara";"w";"BY";"CSU";"";;0;26;1;0;"barbaragerl1";"";"904347284342755329";"";1
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11509;"Gerlach";"Karsten";"m";"NW";"SPD";"";;0;72;1;0;"karsten_gerlach";"";"1593341778";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";5864;"Gerlin";"Christian";"m";"HB";"DIE LINKE";"";;0;6;1;0;"gerlinchristian";"";"1320403194099519498";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10378;"Gerlinger";"Lewia";"w";"NI";"DIE LINKE";"";;0;14;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";8085;"Gerloff";"Carsten Holger";"m";"HH";"SPD";"";;0;10;1;0;"carstenhh1887";"";"49033302";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10197;"Germeshausen";"Frank";"m";"NI";"CDU";"";;0;56;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10313;"Gerschau";"Knut";"m";"NI";"FDP";"Stadt Hannover II";42;0;5;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3266;"Gerster";"Martin";"m";"BW";"SPD";"Biberach";292;1;8;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";1035;"Gerulat";"Sören";"m";"BB";"FDP";"";;0;7;1;0;"gerulatsoren";"";"1324442256309395457";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11655;"Gesenhues";"Jan-Niclas";"m";"NW";"GRÜNE";"Steinfurt III";128;0;8;1;1;"jn_gesenhues";"";"370585284";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4482;"Geß";"Franziska";"w";"BY";"CSU";"";;0;68;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";1018;"Geyer";"Ria Cybill Käthe";"w";"BB";"SPD";"";;0;18;1;0;"mexcybill";"";"1068850769644974080";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";14004;"Giersch";"Alexis Leonard";"m";"SH";"AfD";"Plön  Neumünster";6;0;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11588;"Giesler";"Markus";"m";"NW";"FDP";"Duisburg II";116;0;53;1;1;"markusgiesler";"";"1524426913";"";1
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11656;"Gießwein";"Ina Maike";"w";"NW";"GRÜNE";"Ennepe-Ruhr-Kreis II";139;0;33;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";13902;"Gjoka";"Kole";"m";"SH";"CDU";"";;0;33;1;0;"gjokakole";"";"490338797";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";8065;"Gladiator";"Dennis";"m";"HH";"CDU";"";;0;7;1;0;"dennisgladiator";"";"21847611";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";13903;"Glage";"Annette";"w";"SH";"CDU";"";;0;37;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";9133;"Glagla";"Hannelore";"w";"MV";"CDU";"";;0;8;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";12827;"Glahn";"Tobias";"m";"RP";"FDP";"";;0;23;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";7055;"Glaser";"Albrecht Heinz Erhard";"m";"HE";"AfD";"Schwalm-Eder";170;1;5;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3462;"Glathe-Braun";"Eva-Maria";"w";"BW";"DIE LINKE";"Göppingen";263;0;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";12801;"Glöckner";"Angelika";"w";"RP";"SPD";"Pirmasens";210;1;8;1;1;"a_gloeckner";"";"976421048";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4483;"Gmelch";"Marco Norbert";"m";"BY";"CSU";"";;0;45;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3429;"Gminder";"Franziska Ella Marianne";"w";"BW";"AfD";"Heilbronn";267;1;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";1075;"Gnauck";"Hannes";"m";"BB";"AfD";"Uckermark  Barnim I";57;0;5;1;1;"hannes_gnauck";"";"1325859656015679493";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";12910;"Göbel";"Maximilian";"m";"RP";"CDU";"";;0;32;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10434;"Goes";"Thomas";"m";"NI";"DIE LINKE";"Göttingen";53;0;;0;1;"thomasegoes";"";"1015307701247729666";"";1
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3302;"Gohl";"Christopher";"m";"BW";"FDP";"Bruchsal  Schwetzingen";278;1;;0;1;"lofferg";"";"283033082";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4760;"Gohlke";"Nicole Stephanie";"w";"BY";"DIE LINKE";"München-West/Mitte";220;1;1;1;1;"nicolegohlke";"";"866425075";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";2162;"Goldammer";"Marcel";"m";"BE";"AfD";"Berlin-Neukölln";82;0;6;1;1;"marcelbelmondo";"";"1006825051";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10341;"Goldenstein";"Claas Fiete";"m";"NI";"GRÜNE";"Stade I  Rotenburg II";30;0;22;1;1;"claasimodo";"";"1376646357314850816";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";8107;"Goldmann";"Clara";"w";"HH";"GRÜNE";"";;0;12;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";8066;"Goldner";"Antonia-Katharina";"w";"HH";"CDU";"";;0;11;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";12828;"Goldschmidt";"Michael Kurt";"m";"RP";"FDP";"Ludwigshafen/Frankenthal";207;0;10;1;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";18253;"Golembiewski";"Cornelius";"m";"TH";"CDU";"";;0;10;1;0;"corneliusgolem";"";"2669702732";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";10398;"Golkontt";"Adam Jan";"m";"NI";"AfD";"Delmenhorst  Wesermarsch  Oldenburg-Land";28;0;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";3349;"Gönner";"Thomas";"m";"BW";"GRÜNE";"Rastatt";273;0;37;1;1;"thomasgoenn";"";"817762065356099586";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";6881;"Gontrum";"Christel";"w";"HE";"CDU";"";;0;27;1;0;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";5857;"Görgü-Philipp";"Sahhanim";"w";"HB";"GRÜNE";"";;0;5;1;0;"sahhanim2";"";"872545337013043201";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";18295;"Göring-Eckardt";"Katrin";"w";"TH";"GRÜNE";"Erfurt  Weimar  Weimarer Land II";193;1;1;1;1;"goeringeckardt";"";"626287930";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";1062;"Görke";"Christian";"m";"BB";"DIE LINKE";"Cottbus  Spree-Neiße";64;0;1;1;1;"chr_goerke";"goerke_c";"2669131375";"1411676203224870912";1
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";5848;"Gorniak";"Sören";"m";"HB";"FDP";"";;0;12;1;0;"gorniaksoren";"";"1288807589455814657";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";4801;"Görtler";"Sebastian Johannes";"m";"BY";"AfD";"Coburg";238;0;;0;1;"";"";"";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11591;"Görzel";"Volker";"m";"NW";"FDP";"Köln III";95;0;40;1;1;"vgoerzelfdp";"";"1350059078";"";0
"ZA7721 Twitter-Accounts der Kandidierenden zur Bundestagswahl 2021";"2-0-0 (2021-09-07)";"doi:10.4232/1.13790";"2020-11-01";"2021-08-27";11834;"Gössling";"Karl-Ludwig";"m";"NW";"DIE LINKE";"Hochsauerlandkreis";147;0;;0;1;"";"";"";"";0
